,TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response,time_sec
0,1,One Back Task,L,0.0,3.0,,0.0
1,1,One Back Task,A,487.0,3.0,3.0,2.016499999999951
2,1,One Back Task,E,222.0,3.0,3.0,4.066500000000019
3,1,One Back Task,E,189.0,4.0,4.0,6.099499999999921
4,1,One Back Task,E,74.0,4.0,4.0,8.132499999999936
5,1,One Back Task,O,417.0,3.0,3.0,10.198999999999955
6,1,One Back Task,A,464.0,4.0,4.0,12.21550000000002
7,1,One Back Task,A,0.0,4.0,,14.316500000000019
8,1,One Back Task,H,785.0,3.0,3.0,16.46550000000002
9,1,One Back Task,J,477.0,3.0,3.0,18.531999999999925
10,1,One Back Task,D,358.0,3.0,3.0,20.698999999999955
11,1,One Back Task,B,302.0,3.0,3.0,22.680999999999926
12,1,One Back Task,L,138.0,3.0,4.0,24.749000000000024
13,1,One Back Task,V,427.0,3.0,3.0,26.814499999999953
14,1,One Back Task,V,343.0,4.0,3.0,28.879999999999995
15,1,One Back Task,N,697.0,3.0,3.0,30.931500000000028
16,1,One Back Task,V,666.0,3.0,3.0,32.99599999999998
17,1,One Back Task,L,763.0,3.0,3.0,35.063999999999965
18,1,One Back Task,A,166.0,3.0,3.0,37.11349999999993
19,1,One Back Task,E,116.0,3.0,3.0,39.16300000000001
20,1,One Back Task,J,35.0,3.0,3.0,41.24649999999997
21,1,One Back Task,S,5.0,3.0,3.0,43.313499999999976
22,2,Three Back Task,P,0.0,3.0,,60.394000000000005
23,2,Three Back Task,F,0.0,3.0,,62.54399999999998
24,2,Three Back Task,Q,0.0,3.0,,64.70999999999992
25,2,Three Back Task,C,171.0,3.0,4.0,66.8415
26,2,Three Back Task,N,235.0,3.0,3.0,68.9085
27,2,Three Back Task,P,338.0,3.0,3.0,70.97500000000002
28,2,Three Back Task,C,0.0,4.0,,73.05849999999998
29,2,Three Back Task,N,678.0,3.0,3.0,75.17499999999995
30,2,Three Back Task,P,576.0,4.0,3.0,77.24199999999996
31,2,Three Back Task,C,529.0,4.0,3.0,79.30799999999999
32,2,Three Back Task,N,0.0,4.0,,81.37400000000002
33,2,Three Back Task,V,904.0,3.0,3.0,83.52449999999999
34,2,Three Back Task,Q,699.0,3.0,3.0,85.59050000000002
35,2,Three Back Task,M,475.0,3.0,3.0,87.65699999999993
36,2,Three Back Task,H,0.0,3.0,,89.72299999999996
37,2,Three Back Task,Q,484.0,4.0,3.0,91.89049999999997
38,2,Three Back Task,X,575.0,3.0,3.0,93.97249999999997
39,2,Three Back Task,N,1033.0,3.0,3.0,96.03999999999996
40,2,Three Back Task,Z,543.0,3.0,3.0,98.10500000000002
41,2,Three Back Task,F,1413.0,3.0,4.0,100.154
42,2,Three Back Task,C,0.0,3.0,,102.18700000000001
43,2,Three Back Task,H,833.0,3.0,3.0,104.23649999999998
44,3,Three Back Task,D,0.0,3.0,,121.31899999999996
45,3,Three Back Task,X,0.0,3.0,,123.43549999999993
