,TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response,time_sec
0,1,One Back Task,L,0.0,3.0,,0.0
1,1,One Back Task,A,0.0,3.0,,2.100500000000011
2,1,One Back Task,E,1143.0,3.0,4.0,4.267499999999927
3,1,One Back Task,E,143.0,4.0,3.0,6.332499999999982
4,1,One Back Task,E,110.0,4.0,4.0,8.182999999999993
5,1,One Back Task,O,1464.0,3.0,3.0,10.26649999999995
6,1,One Back Task,A,1133.0,4.0,3.0,12.399000000000001
7,1,One Back Task,A,897.0,4.0,3.0,14.482499999999959
8,1,One Back Task,H,456.0,3.0,3.0,16.54849999999999
9,1,One Back Task,J,97.0,3.0,3.0,18.632999999999925
10,1,One Back Task,D,82.0,3.0,3.0,20.698999999999955
11,1,One Back Task,B,415.0,3.0,3.0,22.764999999999986
12,1,One Back Task,L,383.0,3.0,3.0,24.864499999999907
13,1,One Back Task,V,415.0,3.0,3.0,26.94799999999998
14,1,One Back Task,V,69.0,4.0,4.0,29.097499999999968
15,1,One Back Task,N,166.0,3.0,3.0,31.197000000000003
16,1,One Back Task,V,589.0,3.0,4.0,33.296499999999924
17,1,One Back Task,L,812.0,3.0,3.0,35.34649999999999
18,1,One Back Task,A,1013.0,3.0,3.0,37.42949999999996
19,1,One Back Task,E,780.0,3.0,3.0,39.51249999999993
20,1,One Back Task,J,569.0,3.0,3.0,41.611999999999966
21,1,One Back Task,S,399.0,3.0,3.0,43.71199999999999
22,2,Three Back Task,P,0.0,3.0,,60.84299999999996
23,2,Three Back Task,F,0.0,3.0,,62.959499999999935
24,2,Three Back Task,Q,0.0,3.0,,65.07499999999993
25,2,Three Back Task,C,109.0,3.0,4.0,67.19099999999992
26,2,Three Back Task,N,0.0,3.0,,69.22399999999993
27,2,Three Back Task,P,524.0,3.0,3.0,71.4085
28,2,Three Back Task,C,1264.0,4.0,3.0,73.49199999999996
29,2,Three Back Task,N,1165.0,3.0,4.0,75.57499999999993
30,2,Three Back Task,P,558.0,4.0,3.0,77.65749999999991
31,2,Three Back Task,C,866.0,4.0,3.0,79.72399999999993
32,2,Three Back Task,N,453.0,4.0,4.0,81.77299999999991
33,2,Three Back Task,V,942.0,3.0,3.0,83.82249999999999
34,2,Three Back Task,Q,1287.0,3.0,4.0,85.88999999999999
35,2,Three Back Task,M,890.0,3.0,3.0,87.93949999999995
36,2,Three Back Task,H,0.0,3.0,,89.98849999999993
37,2,Three Back Task,Q,56.0,4.0,4.0,92.1055
38,2,Three Back Task,X,672.0,3.0,3.0,93.80549999999994
39,2,Three Back Task,N,484.0,3.0,3.0,95.8549999999999
40,2,Three Back Task,Z,0.0,3.0,,97.92149999999992
41,2,Three Back Task,F,130.0,3.0,4.0,100.08799999999997
42,2,Three Back Task,C,329.0,3.0,3.0,101.904
43,2,Three Back Task,H,0.0,3.0,,103.803
44,3,Three Back Task,D,0.0,3.0,,120.86749999999995
45,3,Three Back Task,X,0.0,3.0,,122.95150000000001
46,3,Three Back Task,M,0.0,3.0,,125.101
47,3,Three Back Task,I,522.0,3.0,3.0,127.20049999999992
48,3,Three Back Task,X,825.0,3.0,4.0,129.2505
49,3,Three Back Task,M,1047.0,4.0,4.0,131.317
