,TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response,time_sec
98,5,Three Back Task,F,1110.0,3.0,4.0,260.6165000000001
99,5,Three Back Task,U,486.0,3.0,4.0,262.66550000000007
100,5,Three Back Task,H,795.0,4.0,4.0,264.69849999999997
101,5,Three Back Task,U,710.0,3.0,3.0,266.7315000000001
102,5,Three Back Task,U,262.0,3.0,4.0,268.7640000000001
103,5,Three Back Task,H,345.0,4.0,3.0,270.798
104,5,Three Back Task,W,426.0,3.0,3.0,272.83100000000013
105,5,Three Back Task,U,270.0,4.0,4.0,274.86350000000016
106,5,Three Back Task,H,480.0,4.0,4.0,276.89750000000004
107,5,Three Back Task,F,359.0,3.0,4.0,278.93000000000006
108,5,Three Back Task,I,204.0,3.0,3.0,280.98
109,5,Three Back Task,V,824.0,3.0,4.0,283.0305000000001
110,6,One Back Task,U,0.0,3.0,,300.077
111,6,One Back Task,R,624.0,3.0,4.0,302.16049999999996
112,6,One Back Task,O,388.0,3.0,4.0,304.193
113,6,One Back Task,P,29.0,3.0,3.0,306.24250000000006
114,6,One Back Task,P,633.0,4.0,4.0,307.92600000000016
115,6,One Back Task,P,206.0,4.0,4.0,309.99300000000017
116,6,One Back Task,U,304.0,3.0,3.0,312.0585000000001
117,6,One Back Task,Z,0.0,3.0,,314.125
118,6,One Back Task,U,482.0,3.0,3.0,316.25850000000014
119,6,One Back Task,M,378.0,3.0,3.0,318.32400000000007
120,6,One Back Task,M,476.0,4.0,4.0,320.3745000000001
121,6,One Back Task,W,232.0,3.0,3.0,322.491
122,6,One Back Task,I,241.0,3.0,3.0,324.558
123,6,One Back Task,F,0.0,3.0,,326.6410000000001
124,6,One Back Task,M,0.0,3.0,,328.8410000000001
125,6,One Back Task,A,0.0,3.0,,331.04100000000017
126,6,One Back Task,G,453.0,3.0,3.0,333.24
127,6,One Back Task,G,81.0,4.0,4.0,335.3900000000001
128,6,One Back Task,R,361.0,3.0,3.0,337.48950000000013
129,6,One Back Task,Q,168.0,3.0,3.0,339.58900000000017
130,6,One Back Task,R,470.0,4.0,3.0,341.6725000000001
131,6,One Back Task,Q,0.0,3.0,,343.855
132,7,One Back Task,S,0.0,3.0,,361.00250000000005
133,7,One Back Task,R,753.0,3.0,3.0,363.08500000000004
134,7,One Back Task,V,17.0,3.0,3.0,365.15200000000004
135,7,One Back Task,V,465.0,4.0,4.0,367.2180000000001
136,7,One Back Task,O,156.0,3.0,3.0,369.30200000000013
137,7,One Back Task,A,200.0,3.0,3.0,371.33450000000016
138,7,One Back Task,C,372.0,3.0,3.0,373.384
139,7,One Back Task,N,465.0,3.0,3.0,375.384
140,7,One Back Task,Y,448.0,3.0,3.0,377.5345
141,7,One Back Task,V,402.0,3.0,3.0,379.6165000000001
142,7,One Back Task,V,161.0,4.0,4.0,381.616
143,7,One Back Task,J,185.0,3.0,3.0,383.6500000000001
144,7,One Back Task,U,33.0,3.0,3.0,385.69900000000007
145,7,One Back Task,U,17.0,4.0,4.0,387.7325000000001
146,7,One Back Task,U,31.0,4.0,4.0,389.78200000000015
147,7,One Back Task,Y,465.0,3.0,3.0,391.84900000000016
148,7,One Back Task,Y,452.0,4.0,4.0,393.93100000000004
149,7,One Back Task,J,251.0,3.0,3.0,396.0310000000002
150,7,One Back Task,I,154.0,3.0,3.0,398.09850000000006
151,7,One Back Task,S,240.0,3.0,3.0,400.19849999999997
152,7,One Back Task,U,447.0,3.0,3.0,402.2475000000002
153,7,One Back Task,P,428.0,3.0,3.0,404.297
154,8,Three Back Task,L,0.0,3.0,,421.328
155,8,Three Back Task,A,0.0,3.0,,423.4275
156,8,Three Back Task,P,0.0,3.0,,425.5105000000001
157,8,Three Back Task,L,303.0,4.0,4.0,427.5935000000002
158,8,Three Back Task,A,213.0,4.0,4.0,429.6270000000002
159,8,Three Back Task,N,151.0,3.0,3.0,431.67650000000003
160,8,Three Back Task,W,431.0,3.0,3.0,433.70950000000016
161,8,Three Back Task,C,211.0,3.0,3.0,435.74250000000006
162,8,Three Back Task,L,472.0,3.0,4.0,437.77600000000007
163,8,Three Back Task,W,955.0,4.0,4.0,439.8430000000001
164,8,Three Back Task,U,202.0,3.0,3.0,441.90800000000013
165,8,Three Back Task,S,432.0,3.0,3.0,443.9760000000001
166,8,Three Back Task,W,317.0,4.0,4.0,446.0250000000001
167,8,Three Back Task,Y,602.0,3.0,4.0,448.0585000000001
168,8,Three Back Task,F,295.0,3.0,3.0,450.0905
169,8,Three Back Task,L,376.0,3.0,4.0,452.1245000000001
170,8,Three Back Task,Y,381.0,4.0,4.0,454.174
171,8,Three Back Task,U,353.0,3.0,3.0,456.22350000000006
172,8,Three Back Task,L,236.0,3.0,4.0,458.25700000000006
173,8,Three Back Task,I,345.0,3.0,3.0,460.2895000000001
174,8,Three Back Task,B,685.0,3.0,3.0,462.3225
175,8,Three Back Task,T,364.0,3.0,3.0,464.374
176,10,Three Back Task,E,0.0,3.0,,496.4850000000001
177,10,Three Back Task,G,0.0,3.0,,498.5675000000001
178,10,Three Back Task,S,0.0,3.0,,500.634
179,10,Three Back Task,J,2.0,3.0,3.0,502.7175
180,10,Three Back Task,Z,109.0,3.0,3.0,504.75
181,10,Three Back Task,Q,118.0,3.0,3.0,506.7835
182,10,Three Back Task,W,165.0,3.0,3.0,508.81650000000013
183,10,Three Back Task,K,674.0,3.0,3.0,510.84950000000003
184,10,Three Back Task,Q,1200.0,3.0,4.0,512.8825000000002
185,10,Three Back Task,S,458.0,3.0,3.0,514.9155000000001
186,10,Three Back Task,M,389.0,3.0,3.0,516.9655
187,10,Three Back Task,Q,1190.0,3.0,4.0,518.998
188,10,Three Back Task,S,1232.0,4.0,4.0,521.0310000000002
189,10,Three Back Task,F,984.0,4.0,3.0,523.0645000000002
190,10,Three Back Task,Q,342.0,4.0,4.0,525.115
191,10,Three Back Task,X,255.0,3.0,3.0,527.1815000000001
192,10,Three Back Task,F,702.0,4.0,4.0,529.2485000000001
193,10,Three Back Task,K,0.0,3.0,,531.315
194,10,Three Back Task,X,608.0,3.0,4.0,533.4640000000002
195,10,Three Back Task,K,372.0,3.0,3.0,535.5305000000001
196,10,Three Back Task,R,452.0,3.0,3.0,537.597
197,10,Three Back Task,X,557.0,4.0,4.0,539.6465000000001
198,11,One Back Task,B,0.0,3.0,,556.694
199,11,One Back Task,B,29.0,4.0,4.0,558.8770000000002
200,11,One Back Task,V,34.0,3.0,3.0,560.9265
201,11,One Back Task,P,431.0,3.0,3.0,562.9590000000001
202,11,One Back Task,P,471.0,4.0,4.0,565.0260000000001
203,11,One Back Task,Q,367.0,3.0,3.0,567.1255000000001
204,11,One Back Task,E,112.0,3.0,4.0,569.1255000000001
205,11,One Back Task,E,408.0,4.0,4.0,571.1915000000001
206,11,One Back Task,M,417.0,3.0,3.0,573.2250000000001
207,11,One Back Task,M,438.0,4.0,4.0,575.2745
208,11,One Back Task,M,6.0,4.0,4.0,577.3405
209,11,One Back Task,T,242.0,3.0,3.0,579.4080000000001
210,11,One Back Task,E,472.0,3.0,3.0,581.4735000000001
211,11,One Back Task,R,453.0,3.0,3.0,583.5735
212,11,One Back Task,X,23.0,3.0,3.0,585.6565
213,11,One Back Task,E,110.0,3.0,3.0,587.723
214,11,One Back Task,L,107.0,3.0,3.0,589.789
215,11,One Back Task,B,134.0,3.0,3.0,591.8390000000002
216,11,One Back Task,R,308.0,3.0,3.0,593.905
217,11,One Back Task,W,425.0,3.0,3.0,595.972
218,11,One Back Task,W,362.0,4.0,4.0,598.0550000000001
219,11,One Back Task,I,304.0,3.0,3.0,600.0550000000001
220,12,One Back Task,I,0.0,3.0,,617.153
221,12,One Back Task,T,0.0,3.0,,619.3195000000001
222,12,One Back Task,H,62.0,3.0,3.0,621.4345000000001
223,12,One Back Task,H,459.0,4.0,4.0,623.4845
224,12,One Back Task,Y,37.0,3.0,3.0,625.5840000000001
225,12,One Back Task,G,443.0,3.0,3.0,627.6510000000001
226,12,One Back Task,G,76.0,4.0,4.0,629.7345
227,12,One Back Task,G,4.0,4.0,4.0,631.8000000000002
228,12,One Back Task,Y,21.0,3.0,3.0,633.8675000000001
229,12,One Back Task,W,57.0,3.0,3.0,635.9170000000001
230,12,One Back Task,W,402.0,4.0,4.0,638.0005000000001
231,12,One Back Task,U,191.0,3.0,3.0,640.049
232,12,One Back Task,A,454.0,3.0,3.0,642.0995
233,12,One Back Task,U,404.0,3.0,3.0,644.1655000000001
234,12,One Back Task,R,488.0,3.0,3.0,646.1990000000001
235,12,One Back Task,W,372.0,3.0,3.0,648.315
236,12,One Back Task,P,166.0,3.0,3.0,650.298
237,12,One Back Task,Q,368.0,3.0,3.0,652.3645000000001
238,12,One Back Task,C,471.0,3.0,3.0,654.3980000000001
239,12,One Back Task,A,146.0,3.0,3.0,656.5145
240,12,One Back Task,A,444.0,4.0,4.0,658.5800000000002
241,12,One Back Task,L,171.0,3.0,3.0,660.6465000000001
242,13,Three Back Task,A,0.0,3.0,,677.711
243,13,Three Back Task,H,0.0,3.0,,679.827
244,13,Three Back Task,U,0.0,3.0,,681.9605000000001
245,13,Three Back Task,J,265.0,3.0,3.0,684.077
246,13,Three Back Task,V,342.0,3.0,3.0,686.1265000000001
247,13,Three Back Task,N,209.0,3.0,3.0,688.1760000000002
248,13,Three Back Task,J,428.0,3.0,4.0,690.2435
249,13,Three Back Task,V,486.0,4.0,4.0,692.3100000000002
250,13,Three Back Task,N,578.0,4.0,4.0,694.3590000000002
251,13,Three Back Task,U,567.0,3.0,3.0,696.4265
252,13,Three Back Task,V,988.0,4.0,4.0,698.4925000000001
253,13,Three Back Task,E,615.0,3.0,4.0,700.5595000000001
254,13,Three Back Task,D,224.0,3.0,3.0,702.642
255,13,Three Back Task,X,330.0,3.0,3.0,704.7250000000001
256,13,Three Back Task,Q,294.0,3.0,4.0,706.7415000000001
257,13,Three Back Task,O,304.0,3.0,3.0,708.8075000000001
258,13,Three Back Task,X,797.0,4.0,4.0,710.8755000000001
259,13,Three Back Task,N,179.0,3.0,4.0,712.9405000000002
260,13,Three Back Task,O,549.0,4.0,3.0,715.0065
261,13,Three Back Task,P,444.0,3.0,3.0,717.0900000000001
262,13,Three Back Task,T,291.0,3.0,3.0,719.1570000000002
263,13,Three Back Task,W,242.0,3.0,3.0,721.2225000000001
264,14,Three Back Task,X,0.0,3.0,,738.2865000000002
265,14,Three Back Task,K,0.0,3.0,,740.4195
266,14,Three Back Task,O,0.0,3.0,,742.5025
267,14,Three Back Task,X,457.0,4.0,4.0,744.586
268,14,Three Back Task,K,306.0,4.0,4.0,746.6190000000001
269,14,Three Back Task,J,311.0,3.0,3.0,748.6685
270,14,Three Back Task,M,233.0,3.0,3.0,750.7015000000001
271,14,Three Back Task,G,249.0,3.0,3.0,752.7345
272,14,Three Back Task,Y,86.0,3.0,3.0,754.7675000000002
273,14,Three Back Task,M,984.0,3.0,4.0,756.818
274,14,Three Back Task,K,708.0,3.0,4.0,758.885
275,14,Three Back Task,E,354.0,3.0,3.0,760.9175
276,14,Three Back Task,S,65.0,3.0,3.0,762.9505000000001
277,14,Three Back Task,K,500.0,4.0,3.0,764.9830000000002
278,14,Three Back Task,E,0.0,4.0,,767.0160000000001
279,14,Three Back Task,F,454.0,3.0,4.0,769.0985000000001
280,14,Three Back Task,P,579.0,3.0,3.0,771.1320000000001
281,14,Three Back Task,J,373.0,3.0,3.0,773.165
282,14,Three Back Task,F,279.0,4.0,4.0,775.2150000000001
283,14,Three Back Task,N,5.0,3.0,3.0,777.248
284,14,Three Back Task,L,169.0,3.0,3.0,779.2810000000002
285,14,Three Back Task,T,376.0,3.0,3.0,781.3140000000001
286,15,One Back Task,V,0.0,3.0,,798.396
287,15,One Back Task,J,0.0,3.0,,800.4950000000001
288,15,One Back Task,U,414.0,3.0,3.0,802.596
289,15,One Back Task,J,748.0,3.0,3.0,804.5610000000001
290,15,One Back Task,J,190.0,4.0,4.0,806.594
291,15,One Back Task,J,202.0,4.0,4.0,808.6275
292,15,One Back Task,K,494.0,3.0,3.0,810.6600000000001
293,15,One Back Task,K,34.0,3.0,4.0,812.7605000000001
294,15,One Back Task,F,461.0,3.0,3.0,814.7935
295,15,One Back Task,F,380.0,4.0,4.0,816.8765000000001
296,15,One Back Task,M,447.0,3.0,3.0,818.8765000000001
297,15,One Back Task,B,0.0,3.0,,820.9260000000002
298,15,One Back Task,O,420.0,3.0,3.0,823.0260000000001
299,15,One Back Task,B,168.0,3.0,3.0,825.058
300,15,One Back Task,W,494.0,3.0,3.0,827.1255000000001
301,15,One Back Task,Z,318.0,3.0,3.0,829.2240000000002
302,15,One Back Task,Z,198.0,4.0,3.0,831.124
303,15,One Back Task,Y,307.0,3.0,3.0,832.8735000000001
304,15,One Back Task,Z,622.0,3.0,3.0,834.9070000000002
305,15,One Back Task,E,463.0,3.0,3.0,836.94
306,15,One Back Task,A,366.0,3.0,3.0,838.973
307,15,One Back Task,A,225.0,4.0,4.0,840.9225000000001
308,16,Three Back Task,J,0.0,3.0,,857.9705000000001
309,16,Three Back Task,O,0.0,3.0,,860.037
310,16,Three Back Task,X,0.0,3.0,,862.1035000000002
311,16,Three Back Task,V,110.0,3.0,3.0,864.1695
312,16,Three Back Task,X,26.0,3.0,4.0,866.2025000000001
313,16,Three Back Task,Y,227.0,3.0,4.0,868.2355
314,16,Three Back Task,G,369.0,3.0,3.0,870.2685000000001
315,16,Three Back Task,A,287.0,3.0,4.0,872.2185000000002
316,16,Three Back Task,C,697.0,3.0,3.0,874.085
317,16,Three Back Task,G,874.0,4.0,3.0,876.1180000000002
318,16,Three Back Task,O,1111.0,4.0,3.0,878.1510000000001
319,16,Three Back Task,L,539.0,3.0,3.0,880.184
320,16,Three Back Task,H,542.0,3.0,3.0,882.2170000000001
321,16,Three Back Task,O,458.0,4.0,3.0,884.2505000000001
322,16,Three Back Task,Y,1205.0,3.0,3.0,886.2665000000002
323,16,Three Back Task,H,562.0,4.0,3.0,888.3000000000002
324,16,Three Back Task,I,275.0,3.0,4.0,890.3330000000001
325,16,Three Back Task,N,279.0,3.0,3.0,892.366
326,16,Three Back Task,I,203.0,3.0,4.0,894.3989999999999
327,16,Three Back Task,D,408.0,3.0,4.0,896.4320000000002
328,16,Three Back Task,N,195.0,4.0,4.0,898.4650000000001
329,16,Three Back Task,W,370.0,3.0,3.0,900.2314999999999
330,17,One Back Task,I,0.0,3.0,,917.2795000000001
331,17,One Back Task,T,100.0,3.0,3.0,919.346
332,17,One Back Task,H,0.0,3.0,,921.3789999999999
333,17,One Back Task,H,36.0,4.0,4.0,923.4450000000002
334,17,One Back Task,Y,403.0,3.0,3.0,925.4785000000002
335,17,One Back Task,G,226.0,3.0,3.0,927.5115000000001
336,17,One Back Task,G,401.0,4.0,4.0,929.5445
337,17,One Back Task,G,478.0,4.0,4.0,931.511
338,17,One Back Task,Y,457.0,3.0,3.0,933.5770000000002
339,17,One Back Task,W,428.0,3.0,3.0,935.6105000000002
340,17,One Back Task,W,32.0,4.0,4.0,937.6100000000001
341,17,One Back Task,U,23.0,3.0,3.0,939.643
342,17,One Back Task,A,236.0,3.0,3.0,941.6759999999999
343,17,One Back Task,U,404.0,3.0,3.0,943.7094999999999
344,17,One Back Task,R,446.0,3.0,3.0,945.7425000000003
345,17,One Back Task,W,475.0,3.0,3.0,947.7755000000002
346,17,One Back Task,P,370.0,3.0,3.0,949.8085000000001
347,17,One Back Task,Q,432.0,3.0,3.0,951.7415000000001
348,17,One Back Task,C,414.0,3.0,3.0,953.7580000000003
349,17,One Back Task,A,384.0,3.0,3.0,955.7575000000002
350,17,One Back Task,A,377.0,4.0,4.0,957.7240000000002
351,17,One Back Task,L,459.0,3.0,3.0,959.6570000000002
352,1,One Back Task,L,0.0,3.0,,1101.739
353,1,One Back Task,Q,750.0,3.0,3.0,1103.7885
354,1,One Back Task,U,431.0,3.0,3.0,1105.8215
355,1,One Back Task,O,416.0,3.0,3.0,1107.8215
356,1,One Back Task,U,356.0,3.0,3.0,1109.8045000000002
357,1,One Back Task,U,447.0,4.0,4.0,1111.721
358,1,One Back Task,H,471.0,3.0,3.0,1113.737
359,1,One Back Task,V,356.0,3.0,3.0,1115.7705
360,1,One Back Task,K,69.0,3.0,3.0,1117.6865000000003
361,1,One Back Task,K,491.0,4.0,4.0,1119.7195000000002
362,1,One Back Task,K,460.0,4.0,4.0,1121.7694999999999
363,1,One Back Task,B,30.0,3.0,3.0,1123.786
364,1,One Back Task,R,447.0,3.0,3.0,1125.819
365,1,One Back Task,F,314.0,4.0,3.0,1127.8355000000001
366,1,One Back Task,F,387.0,4.0,4.0,1129.7185
367,1,One Back Task,C,97.0,3.0,3.0,1131.6685000000002
368,1,One Back Task,G,430.0,3.0,3.0,1133.7015000000001
369,1,One Back Task,X,105.0,3.0,3.0,1135.701
370,1,One Back Task,F,253.0,3.0,3.0,1137.734
371,1,One Back Task,M,381.0,3.0,3.0,1139.5505000000003
372,1,One Back Task,X,72.0,3.0,3.0,1141.5005
373,1,One Back Task,F,404.0,3.0,3.0,1143.5335
374,2,Three Back Task,Z,0.0,3.0,,1160.5145000000002
375,2,Three Back Task,U,0.0,3.0,,1162.5639999999999
376,2,Three Back Task,F,0.0,3.0,,1164.614
377,2,Three Back Task,Z,498.0,3.0,4.0,1166.6635
378,2,Three Back Task,B,273.0,3.0,3.0,1168.7135000000003
379,2,Three Back Task,L,1225.0,3.0,3.0,1170.7465000000002
