,TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response,time_sec
0,1,One Back Task,L,0.0,3.0,,0.0
1,1,One Back Task,A,1432.0,3.0,3.0,2.0494999999999663
2,1,One Back Task,E,825.0,3.0,3.0,4.082499999999982
3,1,One Back Task,E,631.0,4.0,4.0,6.0989999999999895
4,1,One Back Task,E,531.0,4.0,4.0,8.131999999999948
5,1,One Back Task,O,421.0,3.0,3.0,10.16700000000003
6,1,One Back Task,A,849.0,4.0,3.0,12.232999999999947
7,1,One Back Task,A,1141.0,4.0,3.0,14.298000000000002
8,1,One Back Task,H,922.0,3.0,3.0,16.347999999999956
9,1,One Back Task,J,387.0,3.0,3.0,18.414499999999975
10,1,One Back Task,D,344.0,3.0,3.0,20.480500000000006
11,1,One Back Task,B,473.0,3.0,3.0,22.53099999999995
12,1,One Back Task,L,668.0,3.0,3.0,24.581000000000017
13,1,One Back Task,V,290.0,3.0,3.0,26.646499999999946
14,1,One Back Task,V,209.0,4.0,4.0,28.69799999999998
15,1,One Back Task,N,282.0,3.0,3.0,30.730000000000018
16,1,One Back Task,V,797.0,3.0,3.0,32.797000000000025
17,1,One Back Task,L,426.0,3.0,3.0,34.861999999999966
18,1,One Back Task,A,350.0,3.0,3.0,36.91250000000002
19,1,One Back Task,E,290.0,3.0,3.0,38.97849999999994
20,1,One Back Task,J,757.0,3.0,3.0,41.011999999999944
21,1,One Back Task,S,392.0,3.0,3.0,43.04449999999997
22,2,Three Back Task,P,0.0,3.0,,60.126499999999965
23,2,Three Back Task,F,0.0,3.0,,62.275499999999965
24,2,Three Back Task,Q,0.0,3.0,,64.45899999999995
25,2,Three Back Task,C,442.0,3.0,3.0,66.62549999999999
26,2,Three Back Task,N,765.0,3.0,3.0,68.69200000000001
27,2,Three Back Task,P,1063.0,3.0,3.0,70.72399999999993
28,2,Three Back Task,C,0.0,4.0,,72.72349999999994
29,2,Three Back Task,N,1147.0,3.0,3.0,74.74000000000001
30,2,Three Back Task,P,623.0,4.0,3.0,76.74000000000001
31,2,Three Back Task,C,462.0,4.0,4.0,78.73950000000002
32,2,Three Back Task,N,410.0,4.0,3.0,80.79049999999995
33,2,Three Back Task,V,0.0,3.0,,82.8895
34,2,Three Back Task,Q,892.0,3.0,3.0,85.10699999999997
35,2,Three Back Task,M,544.0,3.0,3.0,87.2065
36,2,Three Back Task,H,555.0,3.0,3.0,89.30599999999993
37,2,Three Back Task,Q,325.0,4.0,4.0,91.40599999999995
38,2,Three Back Task,X,529.0,3.0,3.0,93.50549999999998
39,2,Three Back Task,N,822.0,3.0,3.0,95.60399999999993
40,2,Three Back Task,Z,532.0,3.0,3.0,97.68849999999998
41,2,Three Back Task,F,457.0,3.0,3.0,99.755
42,2,Three Back Task,C,815.0,3.0,3.0,101.80349999999999
43,2,Three Back Task,H,356.0,3.0,3.0,103.85299999999995
44,3,Three Back Task,D,0.0,3.0,,120.9855
45,3,Three Back Task,X,0.0,3.0,,123.11699999999996
46,3,Three Back Task,M,0.0,3.0,,125.25099999999998
47,3,Three Back Task,I,289.0,3.0,3.0,127.40099999999995
48,3,Three Back Task,X,1378.0,3.0,4.0,129.46849999999995
49,3,Three Back Task,M,840.0,4.0,4.0,131.53449999999998
50,3,Three Back Task,P,629.0,3.0,3.0,133.6005
51,3,Three Back Task,S,560.0,3.0,3.0,135.68399999999997
52,3,Three Back Task,A,876.0,3.0,4.0,137.75
53,3,Three Back Task,N,759.0,3.0,3.0,139.7985
54,3,Three Back Task,W,191.0,3.0,3.0,141.86649999999997
55,3,Three Back Task,V,552.0,3.0,3.0,143.91449999999998
56,3,Three Back Task,A,465.0,3.0,3.0,145.96499999999992
57,3,Three Back Task,W,381.0,4.0,4.0,148.01549999999997
58,3,Three Back Task,B,163.0,3.0,3.0,150.11450000000002
59,3,Three Back Task,A,301.0,4.0,4.0,152.1975
60,3,Three Back Task,Y,271.0,3.0,3.0,154.28099999999995
61,3,Three Back Task,B,322.0,4.0,3.0,156.33050000000003
62,3,Three Back Task,A,519.0,4.0,4.0,158.39699999999993
63,3,Three Back Task,R,477.0,3.0,3.0,160.46349999999995
64,3,Three Back Task,P,998.0,3.0,3.0,162.529
65,3,Three Back Task,C,859.0,3.0,3.0,164.59500000000003
66,4,One Back Task,V,0.0,3.0,,181.69349999999997
67,4,One Back Task,I,198.0,3.0,3.0,183.79399999999998
68,4,One Back Task,Q,293.0,3.0,3.0,185.84249999999997
69,4,One Back Task,H,112.0,3.0,3.0,187.89199999999994
70,4,One Back Task,C,97.0,3.0,3.0,189.942
71,4,One Back Task,N,127.0,3.0,3.0,191.99249999999995
72,4,One Back Task,V,389.0,3.0,3.0,194.04250000000002
73,4,One Back Task,Y,333.0,3.0,3.0,196.10950000000003
74,4,One Back Task,Y,267.0,4.0,4.0,198.17499999999995
75,4,One Back Task,K,275.0,3.0,3.0,200.20799999999997
76,4,One Back Task,K,336.0,4.0,4.0,202.27499999999998
77,4,One Back Task,I,472.0,3.0,3.0,204.32449999999994
78,4,One Back Task,I,202.0,4.0,4.0,206.39099999999996
79,4,One Back Task,O,433.0,3.0,3.0,208.47349999999994
80,4,One Back Task,E,647.0,3.0,3.0,210.53999999999996
81,4,One Back Task,D,369.0,3.0,3.0,212.62249999999995
82,4,One Back Task,V,298.0,3.0,3.0,214.7065
83,4,One Back Task,V,665.0,4.0,4.0,216.77249999999992
84,4,One Back Task,N,376.0,3.0,3.0,218.8225
85,4,One Back Task,N,264.0,4.0,4.0,220.87249999999995
86,4,One Back Task,D,259.0,3.0,3.0,222.92099999999994
87,4,One Back Task,W,385.0,3.0,3.0,224.98699999999997
88,5,Three Back Task,C,0.0,3.0,,242.0525
89,5,Three Back Task,B,0.0,3.0,,244.18599999999992
